rank,feature,score,abs_score
1,dev1_gyr_y_spec_dom_freq,-0.6515003390104677,0.6515003390104677
2,dev1_gyr_z_spec_dom_freq,-0.6414982145552346,0.6414982145552346
3,dev1_gyr_mod_spec_dom_freq,-0.6168813532952687,0.6168813532952687
4,dev1_gyr_x_spec_dom_freq,-0.6111684471384923,0.6111684471384923
5,dev1_acc_mod_spec_dom_freq,-0.6019715324525062,0.6019715324525062
6,dev1_acc_z_spec_dom_freq,-0.5481517510475565,0.5481517510475565
7,dev1_mag_x_spec_dom_freq,-0.542543201849394,0.542543201849394
8,dev1_mag_mod_spec_dom_freq,-0.5122604579752422,0.5122604579752422
9,dev1_mag_y_spec_dom_freq,-0.5056754857398983,0.5056754857398983
10,dev1_acc_y_spec_dom_freq,-0.5044975898601213,0.5044975898601213
11,dev1_mag_z_spec_dom_freq,-0.503897818185762,0.503897818185762
12,dev1_acc_x_spec_dom_freq,-0.4909513376813201,0.4909513376813201
13,dev1_acc_mod_spec_centroid,-0.4332764548413363,0.4332764548413363
14,dev1_acc_mod_spec_entropy,-0.3668576240496294,0.3668576240496294
15,dev1_gyr_x_mean,-0.36000355015391466,0.36000355015391466
16,dev1_gyr_y_spec_centroid,-0.35513838054196983,0.35513838054196983
17,dev1_gyr_y_mean,-0.3521275640959084,0.3521275640959084
18,dev1_gyr_x_spec_centroid,-0.3514091725459548,0.3514091725459548
19,dev1_acc_x_spec_centroid,-0.34637039099782446,0.34637039099782446
20,dev1_acc_z_spec_centroid,-0.3462377851627732,0.3462377851627732
21,dev1_gyr_z_spec_centroid,-0.33878040528616826,0.33878040528616826
22,dev1_gyr_mod_spec_centroid,-0.33612035899022785,0.33612035899022785
23,dev1_gyr_z_mean,-0.3316124983601406,0.3316124983601406
24,dev1_acc_mod_median,-0.3252854399679555,0.3252854399679555
25,dev1_gyr_y_median,-0.3184490947764031,0.3184490947764031
26,dev1_acc_y_spec_centroid,-0.3143390881394576,0.3143390881394576
27,dev1_gyr_x_median,-0.29328661471655915,0.29328661471655915
28,dev1_gyr_y_zcr,-0.2906948057127069,0.2906948057127069
29,dev1_mag_mod_spec_centroid,-0.2875741007722722,0.2875741007722722
30,dev1_mag_y_mad,-0.2847440048602179,0.2847440048602179
31,dev1_gyr_x_spec_entropy,-0.2816473946088241,0.2816473946088241
32,dev1_gyr_z_spec_entropy,-0.2729492583329567,0.2729492583329567
33,dev1_gyr_y_spec_entropy,-0.272703184371895,0.272703184371895
34,dev1_mag_x_spec_centroid,-0.2530534388155727,0.2530534388155727
35,dev1_gyr_mod_spec_entropy,-0.2504257182792268,0.2504257182792268
36,dev1_acc_z_spec_dom_amp,-0.24960118486072155,0.24960118486072155
37,dev1_mag_z_spec_centroid,-0.24763568289353893,0.24763568289353893
38,dev1_mag_y_spec_centroid,-0.24575206414019354,0.24575206414019354
39,dev1_mag_x_mad,-0.24055670056412812,0.24055670056412812
40,dev1_mag_z_mad,-0.23424448830456018,0.23424448830456018
41,dev1_gyr_z_median,-0.22980952301410454,0.22980952301410454
42,dev1_acc_x_mad,-0.22717553023935805,0.22717553023935805
43,dev1_acc_z_mad,-0.22332566898668024,0.22332566898668024
44,dev1_gyr_x_zcr,-0.2227336541189156,0.2227336541189156
45,dev1_mag_x_median,-0.21652151558227015,0.21652151558227015
46,dev1_gyr_z_zcr,-0.20640599086265513,0.20640599086265513
47,dev1_gyr_y_spec_energy,-0.20412371873936366,0.20412371873936366
48,dev1_acc_x_spec_entropy,-0.20372060376334186,0.20372060376334186
49,dev1_acc_y_mad,-0.20050983739681139,0.20050983739681139
50,dev1_acc_y_spec_entropy,-0.19600868842990302,0.19600868842990302
51,dev1_mag_y_spec_dom_amp,-0.19489598462970703,0.19489598462970703
52,dev1_acc_mod_mean,-0.19216549577575534,0.19216549577575534
53,dev1_acc_x_spec_dom_amp,-0.1910481215282073,0.1910481215282073
54,dev1_acc_z_spec_entropy,-0.19012111092402936,0.19012111092402936
55,dev1_mag_mod_spec_entropy,-0.186133148188981,0.186133148188981
56,dev1_mag_mod_mad,-0.1818643133045725,0.1818643133045725
57,dev1_gyr_x_spec_dom_amp,-0.18070124978677043,0.18070124978677043
58,dev1_acc_z_spec_energy,-0.1797613985407745,0.1797613985407745
59,dev1_mag_mod_spec_dom_amp,-0.1781931830919624,0.1781931830919624
60,dev1_acc_z_zcr,-0.16318738175599756,0.16318738175599756
61,dev1_acc_x_zcr,-0.15911841755109765,0.15911841755109765
